---
字正表(JIS第一 > IVS)
字→正字。
---
亜 | 亞
唖 | 啞
逢 | 逢󠄁
穐 | 秋 #龝→秋
悪 | 惡
芦 | 蘆
鯵 | 鰺
圧 | 壓
扱 | 扱󠄁
暗 | 暗󠄁
囲 | 囲 圍󠄀
意 | 意󠄁
為 | 爲
違 | 違󠄂
遺 | 遺󠄁
医 | 医 醫
磯 | 磯󠄁
壱 | 壹
溢 | 溢󠄁
逸 | 逸󠄁
稲 | 稻
茨 | 茨󠄁
鰯 | 鰯󠄁
飲 | 飮
淫 | 淫󠄁
隠 | 隱
羽 | 羽󠄀
迂 | 迂󠄁
嘘 | 噓
欝 | 鬱
厩 | 廏
瓜 | 瓜󠄁
噂 | 噂󠄁
運 | 運󠄁
餌 | 餌󠄁
営 | 營
栄 | 榮
頴 | 穎
衛 | 衞
鋭 | 銳
益 | 益󠄁
駅 | 驛
悦 | 悅
謁 | 謁󠄀
閲 | 閱
円 | 圓
延 | 延󠄂
援 | 援󠄁
沿 | 沿󠄀
焔 | 焰
煙 | 煙󠄁
縁 | 緣
艶 | 豔
遠 | 遠󠄁
鉛 | 鉛󠄂
塩 | 鹽
奥 | 奧
往 | 往󠄁
応 | 應
横 | 橫
欧 | 歐
殴 | 毆
翁 | 翁󠄂
鴬 | 鶯
鴎 | 鷗
黄 | ⿈
温 | 溫
穏 | 穩
音 | 音󠄁
化 | 化󠄁
仮 | 假
価 | 價
禍 | 禍󠄀
花 | 花󠄁
嘩 | 譁
貨 | 貨󠄁
迦 | 迦󠄁
過 | 過󠄁
蚊 | 蚊󠄁
画 | 畫 劃
芽 | 芽󠄀
雅 | 雅󠄂
餓 | 餓󠄁
会 | 會
回 | 囘
壊 | 壞
廻 | 𢌞
悔 | 悔󠄀
恢 | 恢󠄁
懐 | 懷
拐 | 拐󠄁
晦 | 晦󠄁
海 | 海󠄀
灰 | 灰󠄁
絵 | 繪
害 | 害󠄂
慨 | 慨󠄄
概 | 槪󠄁
碍 | 礙
蛎 | 蠣
鈎 | 鉤
拡 | 擴
撹 | 攪
殻 | 殼
覚 | 覺
較 | 較󠄁
隔 | 隔󠄁
学 | 學
岳 | 嶽
楽 | 樂
割 | 割󠄀
喝 | 喝󠄁
渇 | 渴
葛 | 葛󠄁
褐 | 褐󠄁
轄 | 轄󠄁
鞄 | 鞄󠄁
竃 | 竈󠄀
釜 | 釜󠄀
鎌 | 鎌󠄁
噛 | 嚙
栢 | 柏
苅 | 刈
寒 | 寒󠄁
勧 | 勸
巻 | 卷
寛 | 寬
歓 | 歡
漢 | 漢󠄁
澗 | 㵎
潅 | 灌
環 | 環󠄁
緩 | 緩󠄁
缶 | 缶 罐
翰 | 翰󠄁
観 | 觀
諌 | 諫
還 | 還󠄁
間 | 閒󠄁
関 | 關
陥 | 陷
韓 | 韓󠄁
館 | 館󠄁
舘 | 館󠄁
巌 | 巖
岩 | 岩 嵒 巖
翫 | 翫󠄁
頑 | 頑󠄁
顔 | 顏
危 | 危󠄁
器 | 器󠄁
幾 | 幾󠄁
既 | 旣
期 | 期󠄁
機 | 機󠄁
帰 | 歸
気 | 氣
祈 | 祈󠄀
徽 | 徽󠄁
起 | 起󠄁
軌 | 軌󠄀
飢 | 飢󠄁 饑
亀 | 龜󠄀
偽 | 僞
戯 | 戲
犠 | 犧
祇 | 祇󠄁
喫 | 喫󠄁
却 | 却 #説文:卻
脚 | 脚 #説文:腳
虐 | 虐󠄁
逆 | 逆󠄁
及 | 及󠄁
吸 | 吸󠄁
急 | 急󠄁
汲 | 汲󠄁
灸 | 灸󠄁
窮 | 窮󠄀
笈 | 笈󠄂
級 | 級󠄁
旧 | 舊
巨 | 巨󠄁
拒 | 拒󠄁
拠 | 據
挙 | 擧
虚 | 虛
距 | 距󠄁
侠 | 俠
卿 | 卿󠄀
峡 | 峽
恐 | 恐󠄁
挟 | 挾
教 | 敎
狭 | 狹
郷 | 郷󠄁
響 | 響󠄄
饗 | 饗󠄃
尭 | 堯
暁 | 曉
僅 | 僅󠄁
勤 | 勤󠄁
均 | 均󠄀
謹 | 謹󠄀
近 | 近󠄁
倶 | 俱
区 | 區󠄁
矩 | 矩󠄁
躯 | 軀
駆 | 驅󠄁
駈 | 驅󠄁
具 | 具󠄁
虞 | 虞󠄁
喰 | 喰󠄁
空 | 空󠄁
遇 | 遇󠄁
櫛 | 櫛󠄂
屑 | 屑󠄁
靴 | 靴󠄁
粂 | 粂󠄁
勲 | 勳
薫 | 薰
祁 | 祁󠄁
啓 | 啓󠄁
契 | 契󠄁
形 | 形󠄁
径 | 徑
恵 | 惠
慧 | 慧󠄁
憩 | 憩 #説文:愒
掲 | 揭
携 | 攜
渓 | 谿 #溪→谿
経 | 經
継 | 繼
繋 | 繫
茎 | 莖
蛍 | 螢
軽 | 輕
頚 | 頸
鶏 | 鷄
芸 | 藝
迎 | 迎󠄁
撃 | 擊
隙 | 隙󠄁
傑 | 傑󠄂
